boro_cd,raw_count,unique_location_count,capped_count,mean_complaints_per_loc,max_complaints_single_loc,repeat_share,gini_coefficient,pct_locs_for_half_complaints,population,raw_rate_per_1k_pop,unique_loc_rate_per_1k_pop,capped_rate_per_1k_pop
405,27940,5224,22427,5.348392036753445,365,0.8130279169649248,0.6643,0.0649,184935.0,50.360036409188815,9.41592090914826,40.42321175908653
406,16619,2106,10166,7.8912630579297245,1239,0.8732775738612432,0.7486,0.0304,122344.0,45.279430676344305,5.737919309488001,27.697857407528495
407,41177,5561,23345,7.40460348858119,5153,0.8649488792286957,0.7625,0.018,250032.0,54.89564002474349,7.413717710799685,31.122682963247374
408,41134,3022,12529,13.611515552614163,16065,0.9265327952545339,0.8717,0.0013,159983.0,85.70493948315342,6.296502336706609,26.10485697438686
409,27805,3701,21233,7.512834369089435,521,0.8668944434454235,0.6799,0.0689,150819.0,61.4533535783511,8.1797828301916,46.928216382993305
410,42806,3767,20701,11.363419166445448,9912,0.9119983179928047,0.8024,0.0146,138303.0,103.16961068571662,9.079099272370568,49.892868074686255
411,9557,2418,7151,3.9524400330851943,422,0.7469917338076802,0.6556,0.0459,123356.0,25.824983516542904,6.533934303965758,19.32347568554968
412,43636,6552,30644,6.65995115995116,1642,0.8498487487395728,0.71,0.0459,257420.0,56.5042861212545,8.484189262683552,39.680936472172576
413,18390,5346,16041,3.4399551066217735,261,0.7092985318107667,0.5907,0.0834,206684.0,29.658802810086893,8.621857521627218,25.870410868765845
414,17513,2491,11840,7.030509835407467,613,0.8577628047735968,0.7356,0.0413,134226.0,43.49132557527355,6.186084166505248,29.403145937945453
501,24052,5929,18770,4.0566706021251475,864,0.7534924330616997,0.6497,0.053,182838.0,43.84938214886037,10.809204505263311,34.21972821113044
502,10502,3411,9198,3.0788625036646144,294,0.6752047229099218,0.5826,0.0759,141364.0,24.76349471341124,8.043066127161087,21.688690189864463
503,10162,3787,8859,2.683390546606813,158,0.6273371383585908,0.5477,0.0879,168027.0,20.159458499725243,7.512681493648837,17.574556470091117
