boro_cd,yellow_trips,green_trips,fhvhv_trips,taxi_trips_night,rideshare_trips_night,total_ride_trips_night,population,taxi_pickups_night_per_1k,rideshare_pickups_night_per_1k,total_ride_pickups_night_per_1k,rideshare_to_taxi_ratio
404,1564.0,2974.0,384609.0,4538.0,384609.0,389147.0,175166.0,34.54247209313832,2927.5772695614446,2962.119741654583,84.75297487880124
405,1387.0,462.0,546395.0,1849.0,546395.0,548244.0,184935.0,13.330809924207605,3939.3660835789146,3952.6968935031227,295.5083829096809
406,1054.0,3771.0,254316.0,4825.0,254316.0,259141.0,122344.0,52.58397087992328,2771.5948473157655,2824.1788181956886,52.7079792746114
407,947.0,1528.0,418417.0,2475.0,418417.0,420892.0,250032.0,13.198310616241121,2231.2717305518227,2244.4700411680637,169.05737373737375
408,1363.0,287.0,261215.0,1650.0,261215.0,262865.0,159983.0,13.751461092741103,2177.0229753577987,2190.7744364505397,158.3121212121212
409,996.0,1098.0,343877.0,2094.0,343877.0,345971.0,150819.0,18.512256413316624,3040.085577192971,3058.5978336062876,164.22015281757402
410,1337.0,182.0,334843.0,1519.0,334843.0,336362.0,138303.0,14.644174987768402,3228.110260322143,3242.7544353099115,220.43647136273864
411,359.0,76.0,129846.0,435.0,129846.0,130281.0,123356.0,4.701838581017543,1403.4826031972502,1408.184441778268,298.49655172413793
412,4846.0,2358.0,733648.0,7204.0,733648.0,740852.0,257420.0,37.313858027089324,3800.005179602724,3837.3190376298135,101.83897834536369
413,2196.0,391.0,364911.0,2587.0,364911.0,367498.0,206684.0,16.688922864533943,2354.0670782450507,2370.7560011095843,141.0556629300348
414,612.0,126.0,140394.0,738.0,140394.0,141132.0,134226.0,7.330919493987752,1394.6031320310522,1401.9340515250399,190.2357723577236
501,105.0,17.0,227642.0,122.0,227642.0,227764.0,182838.0,0.8896764713389266,1660.063371217508,1660.9530476888465,1865.9180327868853
502,425.0,63.0,119306.0,488.0,119306.0,119794.0,141364.0,4.602774869603765,1125.2841364609565,1129.8869113305605,244.4795081967213
503,130.0,5.0,70144.0,135.0,70144.0,70279.0,168027.0,1.0712564052205897,556.6089576873558,557.6802140925764,519.5851851851852
