,boro_cd,ahv_total_permits,ahv_permits_per_year,ahv_nighttime_permits,ahv_nighttime_share,ahv_weekend_permits,ahv_weekend_share,ahv_near_residence_pct,ahv_open_air_pct,ahv_demolition_pct,ahv_crane_pct,ahv_median_duration_hours,ahv_mean_duration_hours,ahv_top_reason,ahv_top_reason_pct,ahv_permits_2021,ahv_permits_2022,ahv_permits_2023,population,ahv_rate_per_1k_pop
17,206,622,207.33333333333334,36,0.05787781350482315,309,0.4967845659163987,0.8858520900321544,0.6543408360128617,0.297427652733119,0.0,7.0,7.670123258306538,City Construction Project,0.4180064308681672,135,272,215,87409.0,2.3719906798308337
18,207,1238,412.6666666666667,35,0.02827140549273021,660,0.5331179321486268,0.8481421647819063,0.678513731825525,0.0395799676898223,0.0032310177705977385,8.0,7.874824986537425,City Construction Project,0.4773828756058158,169,630,439,139443.0,2.9593932048698512
19,208,431,143.66666666666666,5,0.01160092807424594,213,0.494199535962877,0.62877030162413,0.5104408352668213,0.3039443155452436,0.004640371229698376,10.0,9.901662799690643,Construction activities with minimal noise impact,0.4709976798143852,107,195,129,106607.0,1.3476288298767123
20,209,705,235.0,2,0.0028368794326241137,492,0.6978723404255319,0.875177304964539,0.676595744680851,0.25390070921985813,0.0014184397163120568,8.0,7.726241134751773,Construction activities with minimal noise impact,0.6609929078014184,157,373,175,172669.0,1.3609854693083296
21,210,853,284.3333333333333,162,0.1899179366940211,335,0.39273153575615477,0.5533411488862837,0.3575615474794842,0.15943728018757328,0.0,8.0,7.134056271981243,Construction activities with minimal noise impact,0.7784290738569754,156,465,232,129124.0,2.2020176987495224
22,211,596,198.66666666666666,8,0.013422818791946308,216,0.3624161073825503,0.8187919463087249,0.4714765100671141,0.12080536912751678,0.050335570469798654,6.0,7.142142058165549,City Construction Project,0.4664429530201342,68,265,263,117283.0,1.693908466415991
23,212,1354,451.3333333333333,31,0.022895125553914326,407,0.3005908419497784,0.9187592319054653,0.6920236336779911,0.20753323485967504,0.06351550960118169,6.0,6.6970580994583955,City Construction Project,0.7895125553914328,310,515,529,161037.0,2.8026685378722487
24,301,2223,741.0,314,0.14125056230319388,1454,0.6540710751237067,0.902834008097166,0.5942420152946468,0.16869095816464239,0.09401709401709402,7.0,6.559461688409057,Construction activities with minimal noise impact,0.47548358074673863,506,1212,505,201535.0,3.6767807080655968
25,302,10731,3577.0,637,0.0593607305936073,3393,0.3161867486720716,0.7606933184232597,0.4859752120026093,0.12878576087969434,0.003820706364737676,8.0,7.20823160314354,Public Safety,0.4243779703662287,2218,5704,2809,126308.0,28.31966304588783
26,303,2464,821.3333333333334,209,0.08482142857142858,836,0.3392857142857143,0.742288961038961,0.588474025974026,0.1010551948051948,0.004464285714285714,8.0,8.164333062770563,City Construction Project,0.48741883116883117,236,1008,1220,182441.0,4.501912033662024
27,304,851,283.6666666666667,58,0.0681551116333725,280,0.3290246768507638,0.9647473560517039,0.63689776733255,0.11985898942420682,0.036427732079905996,5.983333333333333,6.774050137093616,City Construction Project,0.47591069330199764,194,296,361,115024.0,2.4661519914684473
