ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
MN0701,Upper West Side-Lincoln Square,1,Manhattan,0,UWS_LclnSq,Residential/Mixed,True,MN-MN0701
MN0702,Upper West Side (Central),1,Manhattan,0,UWS_C,Residential/Mixed,True,MN-MN0702
MN0703,Upper West Side-Manhattan Valley,1,Manhattan,0,UWS_MnVly,Residential/Mixed,True,MN-MN0703
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,1,Manhattan,0,UES_LnxHl,Residential/Mixed,True,MN-MN0801
MN0802,Upper East Side-Carnegie Hill,1,Manhattan,0,UES_CrngHl,Residential/Mixed,True,MN-MN0802
MN0803,Upper East Side-Yorkville,1,Manhattan,0,UES_Yrkvl,Residential/Mixed,True,MN-MN0803
MN0901,Morningside Heights,1,Manhattan,0,MrngsdHts,Residential/Mixed,True,MN-MN0901
MN0902,Manhattanville-West Harlem,1,Manhattan,0,Mnhttnvl,Residential/Mixed,True,MN-MN0902
MN0903,Hamilton Heights-Sugar Hill,1,Manhattan,0,HmltnHts,Residential/Mixed,True,MN-MN0903
MN1001,Harlem (South),1,Manhattan,0,Hrlm_S,Residential/Mixed,True,MN-MN1001
MN1002,Harlem (North),1,Manhattan,0,Hrlm_N,Residential/Mixed,True,MN-MN1002
MN1101,East Harlem (South),1,Manhattan,0,EstHrlm_S,Residential/Mixed,True,MN-MN1101
MN1102,East Harlem (North),1,Manhattan,0,EstHrlm_N,Residential/Mixed,True,MN-MN1102
MN1191,Randall's Island,1,Manhattan,9,RndllsIsl,Park/Recreation,False,MN-MN1191
MN1201,Washington Heights (South),1,Manhattan,0,WshHts_S,Residential/Mixed,True,MN-MN1201
MN1202,Washington Heights (North),1,Manhattan,0,WshHts_N,Residential/Mixed,True,MN-MN1202
MN1203,Inwood,1,Manhattan,0,Inwd,Residential/Mixed,True,MN-MN1203
MN1291,Highbridge Park,1,Manhattan,9,HghbrdgPk,Park/Recreation,False,MN-MN1291
MN1292,Inwood Hill Park,1,Manhattan,9,InwdHlPk,Park/Recreation,False,MN-MN1292
MN6491,Central Park,1,Manhattan,9,CntrlPk,Park/Recreation,False,MN-MN6491
QN0101,Astoria (North)-Ditmars-Steinway,4,Queens,0,Astr_N,Residential/Mixed,True,QN-QN0101
QN0102,Old Astoria-Hallets Point,4,Queens,0,OldAstr,Residential/Mixed,True,QN-QN0102
QN0103,Astoria (Central),4,Queens,0,Astr_C,Residential/Mixed,True,QN-QN0103
QN0104,Astoria (East)-Woodside (North),4,Queens,0,Astr_E,Residential/Mixed,True,QN-QN0104
QN0105,Queensbridge-Ravenswood-Dutch Kills,4,Queens,0,Qnsbrdg,Residential/Mixed,True,QN-QN0105
QN0151,Rikers Island,2,Bronx,5,RkrsIsl,Rikers Island,False,BX-QN0151
QN0161,Sunnyside Yards (North),4,Queens,6,SnnysdYd_N,Industrial/Transportation,False,QN-QN0161
QN0171,St. Michael's Cemetery,4,Queens,7,StMchlCem,Airport,False,QN-QN0171
QN0191,Astoria Park,4,Queens,9,AstrPk,Park/Recreation,False,QN-QN0191
QN0201,Long Island City-Hunters Point,4,Queens,0,LIC,Residential/Mixed,True,QN-QN0201
